MaterialNumber,ProductType,Plant,ComplexityScore,IfPhasedOut
003188574679,Disposables,570226,4,NA
003192792679,Hardware,569971,10,NA
003203170679,Disposables,569279,4,NA
003203178679,Disposables,569279,3,NA
003205438868,Disposables,569566,7,NA
003206359679,Software,569966,5,NA
003206367679,Software,569966,9,NA
003247578679,Hardware,569471,10,x
003247579370,Hardware,569471,10,NA
003248698679,Disposables,569722,8,NA
003249089679,Disposables,570226,4,NA
003249097679,Disposables,570226,9,NA
003249124679,Disposables,570226,3,NA
003256150679,Hardware,570221,9,NA
003256158679,Hardware,570221,6,NA
003258096868,Disposables,569562,2,NA
003258105868,Disposables,569562,9,NA
003262272679,Software,569966,8,NA
003262288679,Software,569966,10,NA
003262296679,Software,569966,2,NA
003262305679,Software,569966,3,NA
003262323679,Software,569966,5,NA
003263108838,Disposables,569222,7,NA
003263232862,Disposables,570556,9,NA
003263240862,Disposables,570556,1,NA
003263254862,Disposables,570556,8,NA
003263262862,Disposables,570556,1,NA
003263270862,Disposables,570556,5,NA
003263278862,Disposables,570556,10,NA
003263295679,Hardware,570551,8,NA
003263430862,Disposables,570556,4,NA
003263557679,Hardware,570551,2,NA
003264034868,Disposables,569722,9,NA
003266336868,Disposables,569722,6,NA
003267130679,Disposables,570226,5,NA
003267138679,Disposables,570226,2,NA
003267846679,Software,569966,2,NA
003267873679,Software,569966,1,NA
003267897679,Software,569966,6,NA
003267940679,Software,569966,6,NA
003267954679,Software,569966,2,NA
003267962679,Software,569966,6,NA
003267986679,Software,569967,9,NA
003268118679,Software,569966,1,NA
003268126679,Software,569966,1,NA
003268135679,Software,569966,10,NA
003268148679,Software,569966,3,NA
003268156679,Software,569966,1,NA
003268165679,Software,569966,1,NA
003272634679,Disposables,570241,6,NA
003273498679,Software,570604,4,NA
003273506679,Software,570604,2,NA
003274094838,Disposables,569566,2,NA
003274094868,Disposables,569566,8,NA
003275303679,Disposables,569356,9,NA
003279701868,Disposables,569566,3,NA
003281677679,Hardware,569261,10,NA
003285790679,Hardware,569471,3,x
003288781679,Disposables,569421,3,NA
003289680679,Hardware,569261,5,NA
003289688679,Disposables,569421,7,NA
003292133838,Disposables,569564,6,x
003292133868,Disposables,569564,6,x
003292141868,Disposables,569564,1,x
003292179868,Disposables,569568,10,NA
003292252868,Disposables,569722,8,NA
003292268868,Disposables,569722,10,NA
003292724838,Disposables,569565,2,NA
003292724868,Disposables,569565,2,NA
003303156868,Disposables,569566,9,x
003304997868,Disposables,569566,4,NA
003305416868,Disposables,569566,5,NA
003307016868,Disposables,569732,5,NA
003307025868,Disposables,569732,4,NA
003307043868,Disposables,569732,10,NA
003308209679,Hardware,569971,8,NA
003312609679,Hardware,569471,7,NA
003312617714,Hardware,569471,5,x
003312860679,Disposables,570226,9,NA
003315049679,Hardware,569471,2,NA
003315295868,Disposables,569732,3,NA
003315313868,Disposables,569732,6,NA
003315321868,Disposables,569732,3,NA
003315867679,Hardware,570551,3,NA
003317111679,Software,569966,1,NA
003317119679,Software,569966,9,NA
003317127679,Software,569966,8,NA
003317149679,Software,569966,8,NA
003317157679,Software,569966,2,NA
003317522679,Disposables,569999,2,NA
003317913679,Disposables,569421,5,NA
003318188679,Disposables,570241,1,NA
003318277679,Disposables,570241,10,NA
003323514679,Disposables,570556,4,NA
003323522679,Disposables,570556,7,NA
003323530679,Disposables,570556,3,NA
003323538679,Disposables,570556,4,NA
003323538838,Disposables,570556,4,NA
003323552679,Disposables,570556,7,NA
003323552838,Disposables,570556,7,NA
003323560679,Disposables,570556,1,NA
003323560838,Disposables,570556,7,NA
003323568679,Disposables,570556,2,NA
003323576679,Disposables,570556,6,NA
003323585679,Disposables,570556,10,NA
003323603679,Disposables,570556,4,NA
003323611679,Disposables,570556,3,NA
003323619679,Disposables,570556,5,NA
003332373679,Disposables,569999,2,NA
003332537679,Software,569966,9,NA
003332936679,Disposables,570226,7,NA
003335520679,Disposables,569278,4,NA
003335528679,Disposables,569278,2,NA
